angular/animations, 8.0.0, MIT, https://github.com/angular/angular
angular/cdk, 8.0.0, MIT, https://github.com/angular/components
angular/common, 8.0.0, MIT, https://github.com/angular/angular
angular/compiler, 8.0.0, MIT, https://github.com/angular/angular
angular/core, 8.0.0, MIT, https://github.com/angular/angular
angular/flex-layout, 7.0.0-beta.19, MIT, https://github.com/angular/flex-layout
angular/forms, 8.0.0, MIT, https://github.com/angular/angular
angular/http, 7.2.15, MIT, https://github.com/angular/angular
angular/material-moment-adapter, 8.0.0, MIT, https://github.com/angular/components
angular/material, 8.0.0, MIT, https://github.com/angular/components
angular/platform-browser-dynamic, 8.0.0, MIT, https://github.com/angular/angular
angular/platform-browser, 8.0.0, MIT, https://github.com/angular/angular
angular/router, 8.0.0, MIT, https://github.com/angular/angular
ngrx/effects, 7.4.0, MIT, https://github.com/ngrx/platform
ngrx/entity, 7.4.0, MIT, https://github.com/ngrx/platform
ngrx/router-store, 7.4.0, MIT, https://github.com/ngrx/platform
ngrx/store-devtools, 7.4.0, MIT, https://github.com/ngrx/platform
ngrx/store, 7.4.0, MIT, https://github.com/ngrx/platform
ngx-translate/core, 11.0.1, MIT, https://github.com/ngx-translate/core
ngx-translate/http-loader, 4.0.0, MIT, https://github.com/ngx-translate/http-loader
swimlane/ngx-datatable, 13.1.0, MIT, https://github.com/swimlane/ngx-datatable
angularx-qrcode, 1.5.3, MIT, https://github.com/cordobo/angularx-qrcode
chart.js, 2.8.0, MIT, https://github.com/chartjs/Chart.js
classlist.js, 1.1.20150312, Public Domain, https://github.com/eligrey/classList.js
cookieconsent, 3.1.1, MIT, https://github.com/osano/cookieconsent
core-js, 2.6.9, MIT, https://github.com/zloirock/core-js
core-js, 3.0.1, MIT, https://github.com/zloirock/core-js
d3-scale-chromatic, 1.3.3, BSD-3-Clause, https://github.com/d3/d3-scale-chromatic
date-fns, 1.30.1, MIT, https://github.com/date-fns/date-fns
debug, 2.6.9, MIT, https://github.com/visionmedia/debug
debug, 3.1.0, MIT, https://github.com/visionmedia/debug
debug, 3.2.6, MIT, https://github.com/visionmedia/debug
debug, 4.1.1, MIT, https://github.com/visionmedia/debug
file-saver, 2.0.2, MIT, https://github.com/eligrey/FileSaver.js
lodash-es, 4.17.15, MIT, https://github.com/lodash/lodash
lodash.get, 4.4.2, MIT, https://github.com/lodash/lodash
ngx-build-plus, 8.0.0-rc.3.0.1, MIT, https://github.com/manfredsteyer/ngx-build-plus
ngx-clipboard, 12.1.0, MIT, https://github.com/maxisam/ngx-clipboard
ngx-color-picker, 6.8.0, MIT, https://github.com/zefoy/ngx-color-picker
ngx-cookie, 4.1.2, MIT, https://github.com/salemdar/ngx-cookie
ngx-cookieconsent, 2.2.3, MIT, https://github.com/tinesoft/ngx-cookieconsent
ngx-file-drop, 5.1.0, MIT, https://github.com/georgipeltekov/ngx-file-drop
node-sass, 4.12.0, MIT, https://github.com/sass/node-sass
perfect-scrollbar, 1.4.0, MIT, https://github.com/utatti/perfect-scrollbar
rxjs, 6.4.0, Apache-2.0, https://github.com/reactivex/rxjs
rxjs, 6.5.2, Apache-2.0, https://github.com/reactivex/rxjs
sass-extract-loader, 1.1.0, MIT, https://github.com/jgranstrom/sass-extract-loader
sass-extract, 2.1.0, MIT, https://github.com/jgranstrom/sass-extract
sass-loader, 6.0.7, MIT, https://github.com/webpack-contrib/sass-loader
sass-loader, 7.1.0, MIT, https://github.com/webpack-contrib/sass-loader
stream, 0.0.2, MIT, https://github.com/juliangruber/stream
zone.js, 0.9.1, MIT, https://github.com/angular/zone.js